Latitude	Longitude	Date	Yr_code	Bay	Site	Size	LL	LO	NL	TT	FV	AN	ME	MM	OSB	NSB	PSB	PFV	PAN	PME	PBR
44 8.165	68 27.186	04Jun1997	1997a	TC	LD	1	49.8	6.2	7.0	5.8	-999.9	-999.9	0.0	0.0	0.0	2.6	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.152	68 27.156	04Jun1997	1997a	TC	LD	2	51.4	14.8	3.2	4.0	-999.9	-999.9	0.8	0.0	0.0	0.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.121	68 27.133	04Jun1997	1997a	TC	LD	4	18.8	1.8	24.4	5.8	-999.9	-999.9	0.0	0.2	0.0	8.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.133	68 27.145	04Jun1997	1997a	TC	LD	8	31.6	2.6	18.4	0.0	-999.9	-999.9	0.0	0.0	0.0	16.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.465	68 27.823	04Jun1997	1997a	TC	LH	0	70.2	9.0	3.2	1.8	-999.9	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.460	68 27.804	04Jun1997	1997a	TC	LH	1	38.4	4.8	6.4	4.2	-999.9	-999.9	0.2	0.0	0.0	0.3	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.463	68 27.772	05Jun1997	1997a	TC	LH	2	123.4	1.6	19.4	0.4	-999.9	-999.9	0.0	0.0	0.0	9.3	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.468	68 27.790	05Jun1997	1997a	TC	LH	4	37.6	0.6	1.6	0.0	-999.9	-999.9	0.0	0.0	0.0	14.7	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.451	68 27.826	05Jun1997	1997a	TC	LH	8	93.2	0.2	13.8	0.8	-999.9	-999.9	0.0	0.0	0.0	13.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.629	68 26.663	18Aug1997	1997b	BC	DK	0	17.8	5.8	2.6	0.0	0.0	-999.9	1.6	0.0	0.2	4.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.633	68 26.650	18Aug1997	1997b	BC	DK	1	25.6	7.2	0.0	0.0	42.6	-999.9	0.0	0.0	0.6	3.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.657	68 26.687	18Aug1997	1997b	BC	DK	2	41.6	3.2	0.0	0.0	2.4	-999.9	0.0	0.0	0.8	2.6	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.651	68 26.665	18Aug1997	1997b	BC	DK	4	99.0	2.6	0.0	0.0	3.0	-999.9	0.4	0.0	0.0	1.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.672	68 26.701	18Aug1997	1997b	BC	DK	8	70.6	0.2	0.2	0.0	21.8	-999.9	3.6	0.0	0.0	6.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.302	68 25.950	12Aug1997	1997b	BC	LC	0	21.4	8.6	0.4	0.8	0.0	-999.9	3.8	0.0	0.0	1.1	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.288	68 25.917	12Aug1997	1997b	BC	LC	1	11.8	6.4	0.6	0.0	0.6	-999.9	0.0	0.0	0.2	3.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.292	68 25.940	12Aug1997	1997b	BC	LC	2	36.8	2.4	1.0	4.6	1.6	-999.9	23.4	0.0	0.1	3.7	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.306	68 25.967	12Aug1997	1997b	BC	LC	4	39.8	3.2	0.8	0.4	3.4	-999.9	1.8	0.0	0.0	3.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.276	68 25.896	12Aug1997	1997b	BC	LC	8	20.2	0.8	0.0	0.0	0.4	-999.9	18.6	0.0	0.3	6.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.443	68 26.448	12Aug1997	1997b	BC	MP	0	55.2	1.6	1.0	0.4	2.4	-999.9	43.8	0.0	1.0	8.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.450	68 26.503	12Aug1997	1997b	BC	MP	1	97.2	2.2	1.8	4.6	0.0	-999.9	74.4	0.0	0.1	7.7	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.452	68 26.481	12Aug1997	1997b	BC	MP	2	54.4	0.0	0.0	0.6	0.2	-999.9	6.8	0.0	1.6	7.1	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.433	68 26.427	12Aug1997	1997b	BC	MP	4	70.6	0.0	0.0	0.0	0.0	-999.9	38.0	0.0	0.0	12.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.449	68 26.456	12Aug1997	1997b	BC	MP	8	37.8	0.0	0.2	0.0	0.4	-999.9	3.0	0.0	0.3	3.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.487	68 26.890	15Aug1997	1997b	MC	BO	0	52.2	1.4	1.0	0.0	0.0	-999.9	0.0	0.0	0.0	0.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.456	68 26.911	15Aug1997	1997b	MC	BO	1	35.6	0.0	0.2	0.0	0.0	-999.9	0.0	0.0	0.0	4.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.510	68 26.873	18Aug1997	1997b	MC	BO	2	33.6	0.8	0.2	0.0	0.0	-999.9	0.0	0.0	0.0	1.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.469	68 26.897	18Aug1997	1997b	MC	BO	4	46.4	0.0	0.0	0.0	1.4	-999.9	0.0	0.0	1.3	6.5	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.500	68 26.884	15Aug1997	1997b	MC	BO	8	30.6	0.0	0.2	0.0	0.4	-999.9	0.0	0.0	0.0	6.5	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.462	68 25.380	11Aug1997	1997b	MC	BS	0	29.2	9.8	3.6	0.4	0.0	-999.9	0.2	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.475	68 25.379	11Aug1997	1997b	MC	BS	1	24.8	0.4	0.2	0.0	0.2	-999.9	0.0	0.0	0.0	3.7	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.484	68 25.372	11Aug1997	1997b	MC	BS	2	26.8	1.0	1.8	0.0	0.4	-999.9	0.0	0.0	0.0	0.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.509	68 25.358	11Aug1997	1997b	MC	BS	4	25.2	5.4	2.4	0.0	0.0	-999.9	0.0	0.0	0.0	8.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.497	68 25.366	11Aug1997	1997b	MC	BS	8	15.8	0.0	0.0	0.2	2.4	-999.9	0.0	0.0	0.0	12.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.885	68 27.212	18Aug1997	1997b	MC	GR	0	14.6	0.8	0.6	0.0	0.0	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.855	68 27.207	18Aug1997	1997b	MC	GR	1	19.2	1.6	0.4	0.0	0.0	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.877	68 27.203	18Aug1997	1997b	MC	GR	2	39.0	0.8	0.2	0.0	0.0	-999.9	0.0	0.0	0.0	0.3	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.866	68 27.207	18Aug1997	1997b	MC	GR	4	33.0	0.0	0.0	0.0	0.0	-999.9	0.0	0.0	0.0	1.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.839	68 27.221	18Aug1997	1997b	MC	GR	8	32.0	0.0	0.2	0.0	0.0	-999.9	0.0	0.0	0.0	0.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.338	68 28.328	10Aug1997	1997b	SC	HN	0	27.2	6.8	1.0	0.8	0.0	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.361	68 28.309	10Aug1997	1997b	SC	HN	1	43.4	1.0	0.6	0.0	0.0	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.354	68 28.316	10Aug1997	1997b	SC	HN	2	85.6	1.2	0.6	0.6	0.4	-999.9	0.0	0.0	0.0	0.5	-999.9	-999.9	-999.9	-999.9	-999.9
